nearest_station_id,nearest_station_name,Date,Time,Vehiculos,Time_single,Datetime
6,PS 274,11/08/2017,10:00-11:00AM,1618,11:00:00,2017-11-08 11:00:00
6,PS 274,11/09/2017,10:00-11:00AM,1552,11:00:00,2017-11-09 11:00:00
6,PS 274,11/10/2017,10:00-11:00AM,1483,11:00:00,2017-11-10 11:00:00
6,PS 274,11/11/2017,10:00-11:00AM,7669,11:00:00,2017-11-11 11:00:00
6,PS 274,11/12/2017,10:00-11:00AM,6855,11:00:00,2017-11-12 11:00:00
6,PS 274,11/13/2017,10:00-11:00AM,6560,11:00:00,2017-11-13 11:00:00
6,PS 274,11/14/2017,10:00-11:00AM,6645,11:00:00,2017-11-14 11:00:00
6,PS 274,11/15/2017,10:00-11:00AM,6635,11:00:00,2017-11-15 11:00:00
6,PS 274,11/16/2017,10:00-11:00AM,6774,11:00:00,2017-11-16 11:00:00
6,PS 274,11/17/2017,10:00-11:00AM,6936,11:00:00,2017-11-17 11:00:00
6,PS 274,11/18/2017,10:00-11:00AM,6787,11:00:00,2017-11-18 11:00:00
6,PS 274,11/19/2017,10:00-11:00AM,5783,11:00:00,2017-11-19 11:00:00
8,IS 74,01/20/2018,10:00-11:00AM,594,11:00:00,2018-01-20 11:00:00
8,IS 74,01/21/2018,10:00-11:00AM,432,11:00:00,2018-01-21 11:00:00
8,IS 74,01/22/2018,10:00-11:00AM,625,11:00:00,2018-01-22 11:00:00
8,IS 74,01/23/2018,10:00-11:00AM,666,11:00:00,2018-01-23 11:00:00
8,IS 74,01/24/2018,10:00-11:00AM,615,11:00:00,2018-01-24 11:00:00
8,IS 74,01/25/2018,10:00-11:00AM,599,11:00:00,2018-01-25 11:00:00
8,IS 74,01/26/2018,10:00-11:00AM,618,11:00:00,2018-01-26 11:00:00
8,IS 74,01/27/2018,10:00-11:00AM,512,11:00:00,2018-01-27 11:00:00
8,IS 74,01/28/2018,10:00-11:00AM,448,11:00:00,2018-01-28 11:00:00
8,IS 74,10/28/2017,10:00-11:00AM,460,11:00:00,2017-10-28 11:00:00
8,IS 74,10/29/2017,10:00-11:00AM,383,11:00:00,2017-10-29 11:00:00
8,IS 74,10/30/2017,10:00-11:00AM,581,11:00:00,2017-10-30 11:00:00
8,IS 74,10/31/2017,10:00-11:00AM,561,11:00:00,2017-10-31 11:00:00
8,IS 74,11/01/2017,10:00-11:00AM,533,11:00:00,2017-11-01 11:00:00
8,IS 74,11/02/2017,10:00-11:00AM,541,11:00:00,2017-11-02 11:00:00
8,IS 74,11/03/2017,10:00-11:00AM,533,11:00:00,2017-11-03 11:00:00
8,IS 74,11/04/2017,10:00-11:00AM,2804,11:00:00,2017-11-04 11:00:00
8,IS 74,11/05/2017,10:00-11:00AM,1996,11:00:00,2017-11-05 11:00:00
8,IS 74,11/06/2017,10:00-11:00AM,2457,11:00:00,2017-11-06 11:00:00
8,IS 74,11/07/2017,10:00-11:00AM,2546,11:00:00,2017-11-07 11:00:00
8,IS 74,11/08/2017,10:00-11:00AM,2716,11:00:00,2017-11-08 11:00:00
8,IS 74,11/09/2017,10:00-11:00AM,2568,11:00:00,2017-11-09 11:00:00
8,IS 74,11/10/2017,10:00-11:00AM,2455,11:00:00,2017-11-10 11:00:00
8,IS 74,11/11/2017,10:00-11:00AM,2348,11:00:00,2017-11-11 11:00:00
8,IS 74,11/12/2017,10:00-11:00AM,1961,11:00:00,2017-11-12 11:00:00
10,PS 314,04/07/2018,10:00-11:00AM,440,11:00:00,2018-04-07 11:00:00
10,PS 314,04/08/2018,10:00-11:00AM,423,11:00:00,2018-04-08 11:00:00
10,PS 314,04/09/2018,10:00-11:00AM,588,11:00:00,2018-04-09 11:00:00
10,PS 314,04/10/2018,10:00-11:00AM,588,11:00:00,2018-04-10 11:00:00
10,PS 314,04/11/2018,10:00-11:00AM,578,11:00:00,2018-04-11 11:00:00
10,PS 314,04/12/2018,10:00-11:00AM,566,11:00:00,2018-04-12 11:00:00
10,PS 314,04/13/2018,10:00-11:00AM,550,11:00:00,2018-04-13 11:00:00
10,PS 314,04/14/2018,10:00-11:00AM,532,11:00:00,2018-04-14 11:00:00
10,PS 314,04/15/2018,10:00-11:00AM,362,11:00:00,2018-04-15 11:00:00
10,PS 314,09/09/2017,10:00-11:00AM,2468,11:00:00,2017-09-09 11:00:00
10,PS 314,09/10/2017,10:00-11:00AM,2462,11:00:00,2017-09-10 11:00:00
10,PS 314,09/11/2017,10:00-11:00AM,2517,11:00:00,2017-09-11 11:00:00
10,PS 314,09/12/2017,10:00-11:00AM,2413,11:00:00,2017-09-12 11:00:00
10,PS 314,09/13/2017,10:00-11:00AM,2561,11:00:00,2017-09-13 11:00:00
10,PS 314,09/14/2017,10:00-11:00AM,2453,11:00:00,2017-09-14 11:00:00
10,PS 314,09/15/2017,10:00-11:00AM,2317,11:00:00,2017-09-15 11:00:00
10,PS 314,09/16/2017,10:00-11:00AM,2479,11:00:00,2017-09-16 11:00:00
10,PS 314,09/17/2017,10:00-11:00AM,2525,11:00:00,2017-09-17 11:00:00
10,PS 314,09/23/2017,10:00-11:00AM,1524,11:00:00,2017-09-23 11:00:00
10,PS 314,09/24/2017,10:00-11:00AM,1539,11:00:00,2017-09-24 11:00:00
10,PS 314,09/25/2017,10:00-11:00AM,2076,11:00:00,2017-09-25 11:00:00
10,PS 314,09/26/2017,10:00-11:00AM,2023,11:00:00,2017-09-26 11:00:00
10,PS 314,09/27/2017,10:00-11:00AM,1941,11:00:00,2017-09-27 11:00:00
10,PS 314,09/28/2017,10:00-11:00AM,2026,11:00:00,2017-09-28 11:00:00
10,PS 314,09/29/2017,10:00-11:00AM,1760,11:00:00,2017-09-29 11:00:00
10,PS 314,09/30/2017,10:00-11:00AM,1367,11:00:00,2017-09-30 11:00:00
10,PS 314,10/01/2017,10:00-11:00AM,1518,11:00:00,2017-10-01 11:00:00
10,PS 314,10/21/2017,10:00-11:00AM,2278,11:00:00,2017-10-21 11:00:00
10,PS 314,10/22/2017,10:00-11:00AM,1839,11:00:00,2017-10-22 11:00:00
10,PS 314,10/23/2017,10:00-11:00AM,2471,11:00:00,2017-10-23 11:00:00
10,PS 314,10/24/2017,10:00-11:00AM,2574,11:00:00,2017-10-24 11:00:00
10,PS 314,10/25/2017,10:00-11:00AM,2470,11:00:00,2017-10-25 11:00:00
10,PS 314,10/26/2017,10:00-11:00AM,2512,11:00:00,2017-10-26 11:00:00
10,PS 314,10/27/2017,10:00-11:00AM,2358,11:00:00,2017-10-27 11:00:00
10,PS 314,10/28/2017,10:00-11:00AM,4335,11:00:00,2017-10-28 11:00:00
10,PS 314,10/29/2017,10:00-11:00AM,4208,11:00:00,2017-10-29 11:00:00
10,PS 314,10/30/2017,10:00-11:00AM,2830,11:00:00,2017-10-30 11:00:00
10,PS 314,10/31/2017,10:00-11:00AM,2723,11:00:00,2017-10-31 11:00:00
10,PS 314,11/01/2017,10:00-11:00AM,3021,11:00:00,2017-11-01 11:00:00
10,PS 314,11/02/2017,10:00-11:00AM,3006,11:00:00,2017-11-02 11:00:00
10,PS 314,11/03/2017,10:00-11:00AM,3094,11:00:00,2017-11-03 11:00:00
10,PS 314,11/04/2017,10:00-11:00AM,2478,11:00:00,2017-11-04 11:00:00
10,PS 314,11/05/2017,10:00-11:00AM,2349,11:00:00,2017-11-05 11:00:00
10,PS 314,11/06/2017,10:00-11:00AM,191,11:00:00,2017-11-06 11:00:00
10,PS 314,11/07/2017,10:00-11:00AM,199,11:00:00,2017-11-07 11:00:00
10,PS 314,11/08/2017,10:00-11:00AM,216,11:00:00,2017-11-08 11:00:00
10,PS 314,11/09/2017,10:00-11:00AM,189,11:00:00,2017-11-09 11:00:00
10,PS 314,11/10/2017,10:00-11:00AM,187,11:00:00,2017-11-10 11:00:00
10,PS 314,11/11/2017,10:00-11:00AM,5817,11:00:00,2017-11-11 11:00:00
10,PS 314,11/12/2017,10:00-11:00AM,6567,11:00:00,2017-11-12 11:00:00
10,PS 314,11/13/2017,10:00-11:00AM,6583,11:00:00,2017-11-13 11:00:00
10,PS 314,11/14/2017,10:00-11:00AM,6567,11:00:00,2017-11-14 11:00:00
10,PS 314,11/15/2017,10:00-11:00AM,6736,11:00:00,2017-11-15 11:00:00
10,PS 314,11/16/2017,10:00-11:00AM,7097,11:00:00,2017-11-16 11:00:00
10,PS 314,11/17/2017,10:00-11:00AM,7168,11:00:00,2017-11-17 11:00:00
10,PS 314,11/18/2017,10:00-11:00AM,5761,11:00:00,2017-11-18 11:00:00
10,PS 314,11/19/2017,10:00-11:00AM,6490,11:00:00,2017-11-19 11:00:00
13,Maspeth,03/04/2017,10:00-11:00AM,1135,11:00:00,2017-03-04 11:00:00
13,Maspeth,03/05/2017,10:00-11:00AM,804,11:00:00,2017-03-05 11:00:00
13,Maspeth,03/06/2017,10:00-11:00AM,885,11:00:00,2017-03-06 11:00:00
13,Maspeth,03/07/2017,10:00-11:00AM,904,11:00:00,2017-03-07 11:00:00
13,Maspeth,03/08/2017,10:00-11:00AM,942,11:00:00,2017-03-08 11:00:00
13,Maspeth,03/09/2017,10:00-11:00AM,1000,11:00:00,2017-03-09 11:00:00
13,Maspeth,03/10/2017,10:00-11:00AM,755,11:00:00,2017-03-10 11:00:00
13,Maspeth,03/11/2017,10:00-11:00AM,1088,11:00:00,2017-03-11 11:00:00
13,Maspeth,03/12/2017,10:00-11:00AM,744,11:00:00,2017-03-12 11:00:00
13,Maspeth,09/09/2017,10:00-11:00AM,1011,11:00:00,2017-09-09 11:00:00
13,Maspeth,09/10/2017,10:00-11:00AM,729,11:00:00,2017-09-10 11:00:00
13,Maspeth,09/11/2017,10:00-11:00AM,1101,11:00:00,2017-09-11 11:00:00
13,Maspeth,09/12/2017,10:00-11:00AM,1067,11:00:00,2017-09-12 11:00:00
13,Maspeth,09/13/2017,10:00-11:00AM,1040,11:00:00,2017-09-13 11:00:00
13,Maspeth,09/14/2017,10:00-11:00AM,996,11:00:00,2017-09-14 11:00:00
13,Maspeth,09/15/2017,10:00-11:00AM,1226,11:00:00,2017-09-15 11:00:00
13,Maspeth,09/16/2017,10:00-11:00AM,1105,11:00:00,2017-09-16 11:00:00
13,Maspeth,09/17/2017,10:00-11:00AM,792,11:00:00,2017-09-17 11:00:00
13,Maspeth,09/23/2017,10:00-11:00AM,1544,11:00:00,2017-09-23 11:00:00
13,Maspeth,09/24/2017,10:00-11:00AM,1215,11:00:00,2017-09-24 11:00:00
13,Maspeth,09/25/2017,10:00-11:00AM,1876,11:00:00,2017-09-25 11:00:00
13,Maspeth,09/26/2017,10:00-11:00AM,1746,11:00:00,2017-09-26 11:00:00
13,Maspeth,09/27/2017,10:00-11:00AM,1753,11:00:00,2017-09-27 11:00:00
13,Maspeth,09/28/2017,10:00-11:00AM,1662,11:00:00,2017-09-28 11:00:00
13,Maspeth,09/29/2017,10:00-11:00AM,1697,11:00:00,2017-09-29 11:00:00
13,Maspeth,09/30/2017,10:00-11:00AM,5571,11:00:00,2017-09-30 11:00:00
13,Maspeth,10/01/2017,10:00-11:00AM,4809,11:00:00,2017-10-01 11:00:00
13,Maspeth,10/02/2017,10:00-11:00AM,4239,11:00:00,2017-10-02 11:00:00
13,Maspeth,10/03/2017,10:00-11:00AM,4496,11:00:00,2017-10-03 11:00:00
13,Maspeth,10/04/2017,10:00-11:00AM,4244,11:00:00,2017-10-04 11:00:00
13,Maspeth,10/05/2017,10:00-11:00AM,4051,11:00:00,2017-10-05 11:00:00
13,Maspeth,10/06/2017,10:00-11:00AM,4163,11:00:00,2017-10-06 11:00:00
13,Maspeth,10/07/2017,10:00-11:00AM,4449,11:00:00,2017-10-07 11:00:00
13,Maspeth,10/08/2017,10:00-11:00AM,3562,11:00:00,2017-10-08 11:00:00
24,IS 52,01/20/2018,10:00-11:00AM,829,11:00:00,2018-01-20 11:00:00
24,IS 52,01/21/2018,10:00-11:00AM,698,11:00:00,2018-01-21 11:00:00
24,IS 52,01/22/2018,10:00-11:00AM,920,11:00:00,2018-01-22 11:00:00
24,IS 52,01/23/2018,10:00-11:00AM,968,11:00:00,2018-01-23 11:00:00
24,IS 52,01/24/2018,10:00-11:00AM,1003,11:00:00,2018-01-24 11:00:00
24,IS 52,01/25/2018,10:00-11:00AM,984,11:00:00,2018-01-25 11:00:00
24,IS 52,01/26/2018,10:00-11:00AM,992,11:00:00,2018-01-26 11:00:00
24,IS 52,01/27/2018,10:00-11:00AM,931,11:00:00,2018-01-27 11:00:00
24,IS 52,01/28/2018,10:00-11:00AM,642,11:00:00,2018-01-28 11:00:00
24,IS 52,09/23/2017,10:00-11:00AM,69,11:00:00,2017-09-23 11:00:00
24,IS 52,09/24/2017,10:00-11:00AM,84,11:00:00,2017-09-24 11:00:00
24,IS 52,09/25/2017,10:00-11:00AM,108,11:00:00,2017-09-25 11:00:00
24,IS 52,09/26/2017,10:00-11:00AM,100,11:00:00,2017-09-26 11:00:00
24,IS 52,09/27/2017,10:00-11:00AM,79,11:00:00,2017-09-27 11:00:00
24,IS 52,09/28/2017,10:00-11:00AM,66,11:00:00,2017-09-28 11:00:00
24,IS 52,09/29/2017,10:00-11:00AM,101,11:00:00,2017-09-29 11:00:00
24,IS 52,09/30/2017,10:00-11:00AM,1314,11:00:00,2017-09-30 11:00:00
24,IS 52,10/01/2017,10:00-11:00AM,1092,11:00:00,2017-10-01 11:00:00
24,IS 52,10/02/2017,10:00-11:00AM,1431,11:00:00,2017-10-02 11:00:00
24,IS 52,10/03/2017,10:00-11:00AM,1565,11:00:00,2017-10-03 11:00:00
24,IS 52,10/04/2017,10:00-11:00AM,1439,11:00:00,2017-10-04 11:00:00
